"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indel_rates"
"1",1.42983,1291,28,834,954,3107,1.037703
"2",1.80392,1250,65,927,1324,3566,0.8887024
"3",1.64568,1280,36,937,1228,3481,0.9725928
"4",1.64095,1279,40,935,1172,3426,0.9486938
"5",1.86543,1250,62,1005,1167,3484,0.8837908
"6",2.03316,1246,72,894,1534,3746,0.7668978
"7",1.82195,1213,82,1144,1437,3876,0.9211611
"8",1.91459,1248,49,841,1190,3328,0.7902286
"9",1.9282,1228,63,977,1432,3700,0.9019604
"10",1.67362,1218,63,1077,1111,3469,0.9598944
"11",1.76196,1235,78,939,1199,3451,0.931427
"12",1.75412,1239,66,1036,1089,3430,0.969684
"13",1.62661,1240,119,779,1221,3359,1.005195
"14",1.80197,1246,66,943,1066,3321,0.8463849
"15",1.74032,1255,49,1055,1128,3487,0.9299724
"16",1.763,1229,77,1076,1203,3585,0.9444433
"17",1.67851,1289,55,834,1171,3349,0.9217638
"18",1.6989,1234,78,974,1007,3293,0.9750864
"19",1.88554,1244,91,857,1477,3669,0.8844515
"20",1.95807,1242,69,1002,1225,3538,0.8852155
"21",1.41503,1303,60,756,1329,3448,1.07415
"22",1.39105,1284,81,756,1242,3363,1.147725
"23",1.50867,1253,52,985,1169,3459,1.108952
"24",1.85506,1218,75,1156,1192,3641,0.9174693
"25",1.80918,1245,66,850,1332,3493,0.9103085
"26",1.55123,1277,64,757,1182,3280,0.9480021
"27",1.7126,1266,38,997,1159,3460,0.9721078
"28",1.78322,1248,58,971,1254,3531,0.9110002
"29",2.0484,1236,74,813,1281,3404,0.7778063
"30",1.84946,1212,74,1097,1114,3497,0.8600309
"31",2.07525,1216,84,1011,1474,3785,0.7933827
"32",1.94448,1204,126,896,1345,3571,0.9000592
"33",1.2954,1295,67,818,1127,3307,1.303554
"34",2.03283,1242,73,902,1340,3557,0.7800774
"35",1.9196,1256,42,960,1347,3605,0.863865
"36",1.82599,1253,56,1011,1175,3495,0.8814241
"37",1.48687,1260,70,922,1012,3264,1.176888
"38",1.61999,1251,54,958,1171,3434,1.023701
"39",1.96224,1237,57,904,1557,3755,0.8361566
"40",1.82133,1243,95,961,1203,3502,0.9410027
"41",1.63617,1285,40,979,1018,3322,0.9625532
"42",1.77926,1254,49,897,1323,3523,0.923636
"43",1.72675,1247,69,1005,964,3285,0.9847943
"44",1.96472,1243,97,885,1486,3711,0.8415337
"45",1.70666,1252,59,927,1134,3372,0.9024174
"46",1.89957,1268,49,873,1168,3358,0.816877
"47",1.75647,1213,86,1099,1124,3522,0.9772957
"48",1.82016,1232,102,834,1355,3523,0.8612994
"49",2.0457,1246,89,1013,1201,3549,0.8442635
"50",1.82831,1255,50,1062,1135,3502,0.8931568
"51",1.51431,1278,44,993,930,3245,1.04678
"52",1.72925,1241,94,805,1251,3391,0.9386406
"53",1.95225,1214,83,1018,1478,3793,0.8415801
"54",1.92801,1257,47,1043,1166,3513,0.8302552
"55",1.64222,1265,52,797,1409,3523,0.983468
"56",1.72822,1237,74,874,1254,3439,0.8659559
"57",1.68942,1278,33,874,1327,3512,0.9437206
"58",1.94062,1257,94,762,1414,3527,0.8253823
"59",1.92397,1241,74,911,1157,3383,0.8111321
"60",1.46808,1291,26,840,1068,3225,1.019008
"61",1.92135,1258,75,800,1299,3432,0.8165387
"62",1.8439,1249,56,956,1309,3570,0.8797804
"63",1.79369,1255,61,873,1302,3491,0.9123854
"64",1.51848,1264,46,1018,831,3159,1.033101
"65",1.54989,1235,77,1049,928,3289,1.113431
"66",1.68623,1260,70,817,1219,3366,0.9091001
"67",1.78438,1259,32,928,1211,3430,0.8834573
"68",1.32288,1287,30,874,1004,3195,1.175586
"69",1.81186,1249,62,910,1377,3598,0.8820489
"70",1.92624,1247,89,889,1264,3489,0.8272521
"71",1.60182,1263,61,1070,1037,3431,1.000987
"72",2.23134,1255,73,908,1408,3644,0.7578458
"73",1.77501,1271,49,877,1121,3318,0.8786011
"74",1.70262,1240,77,982,1020,3319,1.013464
"75",1.79869,1273,53,896,1294,3516,0.8959135
"76",1.95871,1238,65,1037,1144,3484,0.8177882
"77",1.62532,1245,69,1052,1144,3510,1.065519
"78",1.53243,1262,67,1048,1091,3468,1.190651
"79",1.46826,1245,51,973,1062,3331,1.125598
"80",1.78678,1254,60,974,1124,3412,0.975651
"81",1.48328,1285,52,989,1072,3398,1.121725
"82",1.72169,1260,61,879,968,3168,0.9433164
"83",1.57307,1259,68,869,1150,3346,1.095615
"84",1.54128,1280,34,951,986,3251,1.0149
"85",1.6788,1281,55,926,1197,3459,0.946121
"86",1.38095,1307,39,798,1054,3198,1.152316
"87",1.80785,1266,33,1048,1149,3496,0.8988163
"88",1.70277,1272,32,857,1077,3238,0.9236841
"89",1.66855,1235,65,1055,970,3325,0.9780736
"90",1.77857,1263,52,933,1247,3495,0.862937
"91",1.688,1256,79,849,1106,3290,0.9229459
"92",1.92451,1262,68,982,1265,3577,0.8591093
"93",1.64208,1268,62,854,1085,3269,0.9865068
"94",1.89019,1239,58,939,1272,3508,0.8749458
"95",1.89837,1269,38,1048,1331,3686,0.8580062
"96",1.81325,1252,45,1030,1272,3599,0.984141
"97",1.46509,1243,99,815,1161,3318,1.235287
"98",1.63559,1237,71,1041,1248,3597,1.074115
"99",1.8903,1245,68,958,1231,3502,0.8660841
"100",1.9572,1246,59,943,1211,3459,0.8129706
