"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indel_rates"
"1",1.6322,878,58,1173,3160,5269,0.8972196
"2",1.75594,841,115,869,3633,5458,0.8563162
"3",1.67358,840,45,1263,2987,5135,0.9059985
"4",1.74276,904,74,903,3550,5431,0.9014618
"5",1.94793,847,83,1020,3633,5583,0.8014855
"6",1.66404,862,92,974,3127,5055,0.8831866
"7",1.82951,830,71,1088,3583,5572,0.8162432
"8",1.90884,860,54,1186,3563,5663,0.8170835
"9",1.52117,849,47,1197,2853,4946,0.988513
"10",1.52834,864,88,1071,2916,4939,1.001676
"11",1.73064,840,88,1143,3313,5384,0.865371
"12",1.7945,827,66,1084,3694,5671,0.816564
"13",1.61492,831,49,1128,3115,5123,0.9073132
"14",1.52223,872,61,1130,3015,5078,0.9562846
"15",1.54366,815,85,1135,3196,5231,0.9770558
"16",1.99672,841,74,1004,3859,5778,0.7665686
"17",1.56693,868,47,1285,2897,5097,0.9680535
"18",1.62418,869,82,1136,3036,5123,0.9430288
"19",1.73626,850,51,1291,3113,5305,0.8199574
"20",1.29845,932,57,1025,2734,4748,1.153045
"21",1.98443,825,76,964,4250,6115,0.7622948
"22",1.62905,855,60,1097,3094,5106,0.8934644
"23",1.66964,855,48,1110,3074,5087,0.8464014
"24",1.69073,867,82,1118,3344,5411,0.9388902
"25",1.66901,867,48,1206,3090,5211,0.8903075
"26",1.67104,866,69,942,3561,5438,0.8836341
"27",1.86377,862,86,948,3686,5582,0.8405044
"28",1.72327,842,49,1188,3199,5278,0.863096
"29",1.94414,834,82,963,4085,5964,0.7899576
"30",1.62851,868,55,1229,2996,5148,0.9238484
"31",1.58617,899,78,899,3198,5074,0.9100873
"32",1.60412,868,113,1057,3002,5040,0.9311908
"33",1.71751,827,63,1309,3376,5575,0.8990445
"34",1.93206,855,78,948,3912,5793,0.7854855
"35",1.73057,864,99,1121,3074,5158,0.8679924
"36",1.7767,860,65,1207,3221,5353,0.8250826
"37",1.68561,876,88,1085,3159,5208,0.9035361
"38",1.64765,855,44,968,3156,5023,0.8936969
"39",1.64548,884,76,1112,3109,5181,0.8727691
"40",1.78779,865,64,1016,3526,5471,0.8597241
"41",1.76869,863,80,1017,3227,5187,0.8344708
"42",1.7729,837,85,903,3714,5539,0.8287103
"43",1.75627,831,77,971,3559,5438,0.8502695
"44",1.73182,861,96,885,3467,5309,0.8544815
"45",1.77737,861,82,897,3595,5435,0.881261
"46",1.79904,859,84,904,3703,5550,0.8519404
"47",1.59303,859,45,1052,3041,4997,0.9372228
"48",1.43742,904,65,1161,2807,4937,1.039069
"49",1.83035,881,76,932,3656,5545,0.8261167
"50",1.78829,845,115,898,3663,5521,0.845875
"51",1.56927,856,41,1024,3086,5007,0.9259619
"52",1.54154,906,90,1005,3198,5199,1.00633
"53",1.84747,858,55,1121,3489,5523,0.8059753
"54",1.66884,902,74,1099,3047,5122,0.9449407
"55",1.47425,825,54,1488,2530,4897,1.008141
"56",1.66161,866,103,900,3321,5190,0.9119366
"57",1.80417,837,115,896,3726,5574,0.8566741
"58",1.90434,839,57,982,3822,5700,0.7819859
"59",1.75796,832,113,948,3651,5544,0.8876251
"60",1.53582,811,63,1341,2912,5127,0.9880278
"61",1.4084,835,48,1232,2679,4794,1.031028
"62",1.62087,836,90,1133,3167,5226,0.9419963
"63",1.84511,837,81,1200,3374,5492,0.7803246
"64",1.60889,885,63,1236,2925,5109,0.9112937
"65",1.86148,867,59,1039,3659,5624,0.8031962
"66",1.71626,843,48,1157,3279,5327,0.869328
"67",1.87131,820,84,1145,3641,5690,0.799999
"68",1.76705,871,82,991,3454,5398,0.8119237
"69",1.76015,894,70,930,3382,5276,0.9163334
"70",1.68622,830,50,1154,3152,5186,0.8660952
"71",1.84465,861,89,990,3486,5426,0.8073113
"72",1.79123,865,67,955,3651,5538,0.8317998
"73",1.90462,850,91,888,3917,5746,0.7831325
"74",1.83298,851,78,1095,3623,5647,0.791906
"75",1.56506,857,49,1185,3011,5102,0.9629841
"76",1.7796,867,48,1014,3480,5409,0.8562531
"77",1.60878,865,93,950,3231,5139,0.952671
"78",1.71509,872,76,1208,3105,5261,0.8694253
"79",1.46718,817,45,1470,2636,4968,0.9930709
"80",1.66995,826,60,1176,3191,5253,0.8615322
"81",1.64217,850,42,1123,3245,5260,0.9379897
"82",1.54365,845,53,1212,2985,5095,0.926641
"83",1.53701,881,62,1138,2967,5048,0.9836017
"84",1.74476,840,92,968,3551,5451,0.8449122
"85",1.82189,820,71,1240,3404,5535,0.8279925
"86",1.73086,894,73,929,3319,5215,0.8827434
"87",1.63781,874,45,1229,3009,5157,0.9169083
"88",1.7851,874,76,1004,3427,5381,0.8577199
"89",1.64383,856,83,1107,3163,5209,0.9129314
"90",1.82592,824,73,1065,3775,5737,0.8502434
"91",1.7418,854,99,1045,3480,5478,0.849528
"92",1.74914,876,48,1117,3219,5260,0.8566763
"93",1.73987,876,54,1065,3181,5176,0.8503479
"94",1.48442,855,115,1078,2827,4875,1.004477
"95",1.48131,830,46,1271,2646,4793,1.031118
"96",1.80612,887,96,1045,3381,5409,0.8189722
"97",1.92089,838,100,950,3758,5646,0.8079782
"98",1.89416,826,113,944,3871,5754,0.8187587
"99",1.75355,890,64,947,3473,5374,0.8601855
"100",1.51121,854,35,1191,2840,4920,1.045077
