core_genome,soft_core_genome, shell_genome, cloud_genome, pangenome
878,58,1173,3160,5269
841,115,869,3633,5458
840,45,1263,2987,5135
904,74,903,3550,5431
847,83,1020,3633,5583
862,92,974,3127,5055
830,71,1088,3583,5572
860,54,1186,3563,5663
849,47,1197,2853,4946
864,88,1071,2916,4939
840,88,1143,3313,5384
827,66,1084,3694,5671
831,49,1128,3115,5123
872,61,1130,3015,5078
815,85,1135,3196,5231
841,74,1004,3859,5778
868,47,1285,2897,5097
869,82,1136,3036,5123
850,51,1291,3113,5305
932,57,1025,2734,4748
825,76,964,4250,6115
855,60,1097,3094,5106
855,48,1110,3074,5087
867,82,1118,3344,5411
867,48,1206,3090,5211
866,69,942,3561,5438
862,86,948,3686,5582
842,49,1188,3199,5278
834,82,963,4085,5964
868,55,1229,2996,5148
899,78,899,3198,5074
868,113,1057,3002,5040
827,63,1309,3376,5575
855,78,948,3912,5793
864,99,1121,3074,5158
860,65,1207,3221,5353
876,88,1085,3159,5208
855,44,968,3156,5023
884,76,1112,3109,5181
865,64,1016,3526,5471
863,80,1017,3227,5187
837,85,903,3714,5539
831,77,971,3559,5438
861,96,885,3467,5309
861,82,897,3595,5435
859,84,904,3703,5550
859,45,1052,3041,4997
904,65,1161,2807,4937
881,76,932,3656,5545
845,115,898,3663,5521
856,41,1024,3086,5007
906,90,1005,3198,5199
858,55,1121,3489,5523
902,74,1099,3047,5122
825,54,1488,2530,4897
866,103,900,3321,5190
837,115,896,3726,5574
839,57,982,3822,5700
832,113,948,3651,5544
811,63,1341,2912,5127
835,48,1232,2679,4794
836,90,1133,3167,5226
837,81,1200,3374,5492
885,63,1236,2925,5109
867,59,1039,3659,5624
843,48,1157,3279,5327
820,84,1145,3641,5690
871,82,991,3454,5398
894,70,930,3382,5276
830,50,1154,3152,5186
861,89,990,3486,5426
865,67,955,3651,5538
850,91,888,3917,5746
851,78,1095,3623,5647
857,49,1185,3011,5102
867,48,1014,3480,5409
865,93,950,3231,5139
872,76,1208,3105,5261
817,45,1470,2636,4968
826,60,1176,3191,5253
850,42,1123,3245,5260
845,53,1212,2985,5095
881,62,1138,2967,5048
840,92,968,3551,5451
820,71,1240,3404,5535
894,73,929,3319,5215
874,45,1229,3009,5157
874,76,1004,3427,5381
856,83,1107,3163,5209
824,73,1065,3775,5737
854,99,1045,3480,5478
876,48,1117,3219,5260
876,54,1065,3181,5176
855,115,1078,2827,4875
830,46,1271,2646,4793
887,96,1045,3381,5409
838,100,950,3758,5646
826,113,944,3871,5754
890,64,947,3473,5374
854,35,1191,2840,4920
