"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"1",1.45563,3951,163,1727,3281,9122,0.9986483
"2",1.06781,4059,182,1489,2685,8415,1.16582
"3",1.44308,3956,200,1820,2592,8568,1.131988
"4",1.35862,3891,278,1613,3058,8840,1.110536
"5",1.19969,3967,220,1664,2558,8409,1.269765
"6",1.01921,4017,219,1557,2469,8262,1.459364
"7",1.10612,3880,293,1433,3286,8892,1.397868
"8",0.86449,3953,209,1813,1998,7973,1.664707
"9",1.69818,3823,309,1747,3790,9669,0.9231533
"10",1.19638,4025,176,1698,2688,8587,1.281984
"11",0.89992,3990,212,1711,2226,8139,1.952185
"12",1.11708,3918,251,1664,2422,8255,1.4009
"13",1.40099,3997,152,1633,2641,8423,1.026609
"14",1.03094,3949,197,1491,2591,8228,1.357615
"15",1.25961,4013,171,1489,2461,8134,1.015536
"16",1.1889,3929,189,1696,2477,8291,1.14875
"17",1.32177,3814,313,1547,3043,8717,1.051696
"18",0.9888,3844,311,1666,2593,8414,1.651538
"19",1.4014,3976,156,1679,2637,8448,0.9668463
"20",0.88923,3884,251,1535,2041,7711,1.707575
"21",1.25587,3960,207,1797,2598,8562,1.206335
"22",0.97833,3934,287,1524,2138,7883,1.398345
"23",0.75442,4022,157,1587,1877,7643,2.284114
"24",0.85799,3947,219,1551,1855,7572,1.538373
"25",1.09911,3893,227,1580,2300,8000,1.214611
"26",1.15037,3942,199,1621,2505,8267,1.340643
"27",1.18504,3866,256,1459,3043,8624,1.297065
"28",1.2149,3915,302,1534,2509,8260,1.26591
"29",1.40925,3998,208,1652,2927,8785,1.099526
"30",1.30993,3921,245,1636,2399,8201,1.120937
"31",1.13772,3857,332,1501,2825,8515,1.425227
"32",1.23536,3988,210,1636,2458,8292,1.112748
"33",1.18654,3917,261,1565,2922,8665,1.138907
"34",1.23478,3951,240,1580,2718,8489,1.119577
"35",0.95811,3922,242,1502,2134,7800,1.455419
"36",1.0496,3911,260,1534,2204,7909,1.654637
"37",1.18198,3928,231,1510,2914,8583,1.182999
"38",1.24058,3997,196,1654,2922,8769,1.144556
"39",1.37475,4064,143,1563,3245,9015,1.106638
"40",0.93238,4023,160,1567,1828,7578,1.801007
"41",1.07332,3997,206,1523,2579,8305,1.30005
"42",1.03267,4025,188,1465,2725,8403,1.363188
"43",1.57541,3937,215,1592,3446,9190,0.9019466
"44",1.09926,4016,109,1637,2139,7901,1.180663
"45",1.31109,3909,229,1554,2827,8519,1.343705
"46",1.19789,3965,269,1393,2352,7979,1.129962
"47",1.41718,3958,173,1661,2557,8349,1.01407
"48",1.12055,4004,205,1471,2825,8505,1.382007
"49",1.22033,3953,228,1482,2670,8333,1.227597
"50",1.37282,3966,223,1523,2754,8466,1.084772
"51",1.45011,3839,247,1761,2853,8700,1.100459
"52",1.34565,3986,224,1546,2947,8703,1.157473
"53",1.20865,3883,242,1643,2533,8301,1.245219
"54",1.45809,3902,265,1625,3159,8951,0.9851278
"55",1.31305,3985,205,1593,2971,8754,1.037558
"56",1.28295,3971,167,1875,2582,8595,1.08718
"57",1.10278,4001,188,1485,2719,8393,1.451387
"58",1.43278,3997,177,1493,3318,8985,1.02439
"59",1.22556,4001,189,1551,3080,8821,1.15695
"60",0.88008,3884,318,1502,2039,7743,1.812379
"61",1.25213,3979,195,1645,2948,8767,1.076823
"62",1.15174,3832,341,1517,2401,8091,1.303892
"63",1.33646,3928,249,1493,2977,8647,1.07882
"64",1.41657,3931,186,1628,2682,8427,0.953312
"65",1.08751,4004,191,1703,2459,8357,1.247965
"66",1.08956,4077,138,1568,2118,7901,1.341307
"67",1.22683,3905,201,1572,2655,8333,1.248259
"68",1.35703,3829,305,1579,2847,8560,1.222988
"69",1.1481,3970,237,1487,3338,9032,1.160008
"70",1.5905,3897,224,1626,3471,9218,0.9765885
"71",0.78199,3977,123,1676,2078,7854,2.229406
"72",1.1757,3885,291,1551,2532,8259,1.364912
"73",1.10873,3966,220,1868,2283,8337,1.414298
"74",1.10906,4007,135,1707,1920,7769,1.331355
"75",0.88335,4051,159,1505,2061,7776,1.74284
"76",1.12953,3962,219,1516,2900,8597,1.422407
"77",1.38328,3943,245,1633,2734,8555,1.053015
"78",1.26518,3970,203,1516,3018,8707,1.245495
"79",1.53869,4006,181,1457,3608,9252,0.9966984
"80",1.42885,4034,130,1592,2649,8405,1.113317
"81",0.91797,4054,185,1376,2210,7825,1.541576
"82",1.27346,3980,168,1593,2942,8683,1.303824
"83",1.30386,3920,220,1542,3070,8752,1.218068
"84",1.09606,4028,172,1813,2332,8345,1.343033
"85",1.2453,3980,224,1522,2646,8372,1.125956
"86",1.02185,3933,255,1552,2355,8095,1.363326
"87",1.10365,3935,202,1746,2209,8092,1.460653
"88",1.55618,4095,92,1586,3321,9094,0.8617799
"89",1.00258,4071,169,1448,2491,8179,1.353238
"90",0.87696,4019,139,1571,2006,7735,1.502128
"91",1.23987,3944,190,1637,2604,8375,1.199469
"92",1.08063,3970,194,1581,2425,8170,1.375459
"93",1.25658,3898,286,1749,2618,8551,1.086845
"94",1.30594,3985,187,1571,2882,8625,1.051463
"95",1.69093,3896,275,1775,3082,9028,0.9265646
"96",1.23395,3967,249,1398,2570,8184,1.175203
"97",1.04044,3955,240,1545,2542,8282,1.393674
"98",1.58216,3863,289,1530,3191,8873,0.9828891
"99",1.17907,4053,93,1708,2311,8165,1.328107
"100",1.28004,3969,213,1523,2937,8642,1.120347
