"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","total_genome","indel_rates"
"1",2.87079,2186,58,1305,1441,4990,0.9887995
"2",2.87917,2212,44,1417,1359,5032,0.9587156
"3",2.9151,2203,51,1436,1487,5177,1.001308
"4",2.7146,2192,46,1436,1084,4758,1.123264
"5",2.84049,2202,59,1495,1225,4981,1.120183
"6",2.79382,2202,43,1485,1319,5049,1.296899
"7",2.77312,2216,38,1320,1555,5129,1.142775
"8",2.76045,2202,66,1378,1373,5019,1.161919
"9",2.91936,2194,45,1463,1402,5104,0.9046288
"10",2.88955,2208,52,1424,1157,4841,0.9100397
"11",2.98269,2168,74,1319,1363,4924,0.6976466
"12",2.91899,2194,53,1435,1259,4941,0.9782777
"13",2.81816,2200,47,1360,1255,4862,0.9633465
"14",2.82466,2181,50,1453,1524,5208,1.180755
"15",2.69989,2204,51,1410,1074,4739,1.314153
"16",2.88371,2205,33,1373,1492,5103,0.9982324
"17",2.96144,2195,53,1538,1477,5263,0.8699272
"18",2.77523,2216,47,1459,1427,5149,1.305578
"19",2.91163,2189,65,1441,1485,5180,1.022281
"20",2.92671,2157,66,1404,1657,5284,1.089487
"21",2.85317,2207,41,1322,1443,5013,1.027409
"22",2.51232,2215,22,1524,887,4648,2.297188
"23",2.78312,2198,44,1434,1545,5221,1.183018
"24",2.90521,2186,60,1546,1314,5106,1.046726
"25",2.90677,2192,54,1455,1259,4960,0.9311464
"26",2.87815,2217,82,1371,1356,5026,1.031953
"27",2.821,2168,59,1314,1316,4857,1.050796
"28",2.83413,2188,44,1455,1402,5089,1.087285
"29",2.84165,2188,43,1510,1388,5129,1.136639
"30",3.03491,2178,63,1346,1383,4970,0.7687972
"31",2.94948,2194,61,1349,1455,5059,0.9109999
"32",2.73725,2180,55,1540,1502,5277,1.383505
"33",2.68323,2179,51,1501,1215,4946,1.311798
"34",2.86848,2205,46,1409,1184,4844,1.037628
"35",2.8319,2189,44,1414,1308,4955,1.203264
"36",2.88992,2199,55,1422,1314,4990,0.9863163
"37",2.96129,2195,59,1408,1178,4840,0.789587
"38",2.67866,2167,53,1465,1365,5050,1.566867
"39",2.76937,2199,45,1420,1274,4938,1.021829
"40",2.84132,2178,73,1379,1447,5077,1.158182
"41",3.07399,2196,67,1300,1613,5176,0.7557632
"42",2.86975,2199,49,1448,1118,4814,0.9437508
"43",2.8099,2172,58,1363,1544,5137,1.254378
"44",2.7564,2170,58,1458,1156,4842,1.056916
"45",2.89251,2171,63,1437,1520,5191,1.096696
"46",2.78743,2212,42,1487,1174,4915,1.198331
"47",2.94881,2183,66,1469,1361,5079,0.9635464
"48",2.85655,2196,55,1438,1444,5133,1.127524
"49",2.97121,2176,71,1328,1167,4742,0.6744335
"50",2.8137,2193,63,1462,1554,5272,1.018657
"51",2.9972,2201,58,1404,1412,5075,0.8665655
"52",2.84069,2203,58,1393,1042,4696,0.9895238
"53",2.85818,2213,50,1375,1119,4757,0.9116181
"54",2.73177,2202,45,1412,1145,4804,1.246409
"55",2.94498,2190,62,1324,1305,4881,0.61066
"56",2.91213,2180,66,1458,1263,4967,0.9137857
"57",2.69489,2191,45,1499,1292,5027,1.509401
"58",2.86353,2192,62,1457,1459,5170,1.0102
"59",2.72174,2217,29,1395,1195,4836,1.335034
"60",2.89366,2223,49,1331,1307,4910,0.9222347
"61",2.9785,2211,90,1332,1417,5050,0.8678861
"62",3.02808,2167,83,1408,1521,5179,0.8183061
"63",2.85553,2196,49,1380,1283,4908,1.039254
"64",2.6208,2205,46,1552,1313,5116,1.863155
"65",2.98197,2186,67,1407,1321,4981,0.9031408
"66",2.89842,2174,49,1391,1611,5225,1.134095
"67",2.83634,2171,54,1384,1436,5045,1.122794
"68",2.83019,2197,41,1393,958,4589,0.8675616
"69",2.92609,2194,107,1375,1454,5130,0.9521847
"70",2.80378,2200,57,1345,1181,4783,1.210931
"71",2.81938,2213,81,1356,1430,5080,1.164465
"72",2.95273,2202,62,1334,1258,4856,0.8828267
"73",2.69681,2185,51,1575,1424,5235,1.609521
"74",2.81384,2227,70,1330,1288,4915,1.148097
"75",2.94808,2196,53,1397,1548,5194,0.9273974
"76",2.95491,2201,46,1295,1513,5055,0.9209624
"77",2.74981,2190,47,1452,1309,4998,1.354521
"78",2.98047,2181,72,1575,1432,5260,0.9237852
"79",2.71573,2181,57,1444,1298,4980,1.24615
"80",2.72436,2215,33,1386,1021,4655,1.143588
"81",2.86841,2184,50,1309,1647,5190,1.14117
"82",2.76476,2188,36,1540,1141,4905,1.20019
"83",2.92949,2195,43,1350,1280,4868,0.8016628
"84",2.80446,2171,61,1434,1635,5301,1.208131
"85",2.81233,2211,40,1441,1362,5054,1.174116
"86",2.77169,2209,46,1384,1168,4807,1.034701
"87",3.07831,2175,65,1435,1384,5059,0.6880042
"88",2.85781,2182,58,1263,1592,5095,1.189984
"89",2.75996,2190,57,1403,1369,5019,1.408773
"90",2.79462,2185,61,1384,1311,4941,1.016051
"91",2.86808,2193,53,1517,1334,5097,1.090837
"92",2.86957,2209,56,1447,1210,4922,1.096568
"93",2.91663,2187,52,1336,1177,4752,0.9459062
"94",2.86529,2165,65,1352,1503,5085,1.062497
"95",2.86345,2186,59,1308,1259,4812,0.9974464
"96",2.64203,2193,48,1448,1160,4849,1.411619
"97",2.99219,2210,48,1334,1540,5132,0.8188068
"98",2.68262,2202,48,1400,1235,4885,1.365914
"99",2.73234,2175,59,1348,1508,5090,1.289115
"100",2.6964,2200,36,1461,1119,4816,1.33172
