core_genes, soft_core_genes, shell_genes, cloud_genes, total_genes
3745,94,363,396,4598
3673,150,374,434,4631
3708,113,382,414,4617
3721,97,411,354,4583
3616,174,470,528,4788
3616,176,447,546,4785
3664,180,347,469,4660
3614,183,465,588,4850
3702,115,421,528,4766
3694,135,366,381,4576
3731,124,345,354,4554
3736,99,349,339,4523
3684,158,377,497,4716
3635,166,429,544,4774
3634,170,430,544,4778
3675,139,398,431,4643
3592,185,508,622,4907
3639,167,405,399,4610
3658,171,358,378,4565
3615,175,449,509,4748
3671,135,395,417,4618
3684,139,372,448,4643
3658,146,428,547,4779
3631,191,369,422,4613
3717,135,344,448,4644
3725,100,373,324,4522
3688,131,382,372,4573
3649,147,439,502,4737
3630,182,395,512,4719
3709,119,370,310,4508
3728,128,327,277,4460
3666,159,409,443,4677
3655,158,423,499,4735
3553,206,517,606,4882
3691,120,407,456,4674
3631,167,444,524,4766
3670,155,382,474,4681
3737,103,352,372,4564
3642,146,460,575,4823
3656,160,409,503,4728
3583,208,452,576,4819
3556,201,514,549,4820
3599,186,450,571,4806
3661,134,424,389,4608
3641,175,398,508,4722
3629,184,416,470,4699
3664,158,400,480,4702
3607,198,444,604,4853
3615,184,449,523,4771
3627,181,427,574,4809
3651,159,428,533,4771
3631,169,432,423,4655
3649,164,384,419,4616
3628,164,482,621,4895
3680,136,390,453,4659
3648,157,433,499,4737
3633,168,415,491,4707
3694,132,390,379,4595
3645,166,401,499,4711
3673,153,388,370,4584
3703,137,338,414,4592
3684,145,398,426,4653
3666,147,418,529,4760
3689,128,402,508,4727
3684,137,388,415,4624
3679,131,430,407,4647
3588,198,460,574,4820
3659,151,409,422,4641
3693,147,374,412,4626
3640,177,393,403,4613
3675,169,370,474,4688
3626,164,453,593,4836
3670,165,377,436,4648
3643,160,385,450,4638
3620,167,462,526,4775
3653,154,414,482,4703
3652,141,425,496,4714
3685,144,369,441,4639
3686,148,388,471,4693
3575,203,491,543,4812
3625,180,424,549,4778
3695,141,340,342,4518
3632,191,401,497,4721
3617,191,428,527,4763
3642,172,412,495,4721
3626,163,480,579,4848
3700,156,316,328,4500
3665,171,371,464,4671
3666,146,411,436,4659
3623,157,467,549,4796
3665,140,425,498,4728
3707,131,342,442,4622
3671,141,400,493,4705
3675,150,361,369,4555
3676,138,400,482,4696
3585,186,531,595,4897
3672,145,380,420,4617
3646,143,433,506,4728
3660,138,459,527,4784
3609,203,409,460,4681
