"species","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"ecoli",1.41026,3001,382,2704,5672,11759,0.9912508
"ecoli",1.36452,3133,309,1711,4439,9592,0.9520124
"ecoli",1.22207,3239,336,1470,5114,10159,0.8603094
"ecoli",1.27603,3021,365,1906,5878,11170,0.9181807
"ecoli",1.19463,3217,187,2467,4267,10138,0.8962643
"ecoli",1.30092,3066,393,1832,5178,10469,0.8659225
"ecoli",0.99042,3188,211,2802,3728,9929,1.153434
"ecoli",1.25126,3170,152,3147,3928,10397,0.9695309
"ecoli",1.18664,3220,152,3009,3502,9883,0.9912932
"ecoli",1.11134,3015,315,3065,4403,10798,1.204557
"ecoli",1.01587,3077,279,2932,3353,9641,1.144117
"ecoli",1.1637,3057,306,1940,4803,10106,0.9814507
"ecoli",1.46171,3158,204,3235,4930,11527,0.787897
"ecoli",1.115,2966,400,1802,4750,9918,1.145761
"ecoli",1.15414,3032,346,3008,3921,10307,1.164575
"ecoli",1.16859,3253,219,1612,4497,9581,0.9298842
"ecoli",1.08108,3071,342,2794,4177,10384,0.9908494
"ecoli",1.18234,3152,266,3107,4052,10577,0.978566
"ecoli",1.18493,2984,326,2876,4418,10604,1.021488
"ecoli",1.20219,3271,184,2723,4635,10813,1.011244
"ecoli",1.06371,2987,353,2090,4566,9996,1.242811
"ecoli",0.91901,3258,216,1567,4164,9205,1.459127
"ecoli",1.22366,3021,319,2965,5367,11672,1.119658
"ecoli",0.85205,3206,273,1806,4673,9958,1.71157
"ecoli",1.12313,3222,143,3326,4189,10880,1.167634
"ecoli",1.35389,3131,223,2027,5624,11005,0.8699389
"ecoli",1.00223,3228,211,2660,3332,9431,1.1493
"ecoli",1.23782,3189,260,2087,5100,10636,0.9600579
"ecoli",1.15538,3108,302,1645,5008,10063,0.936753
"ecoli",1.36536,3071,413,1292,4621,9397,0.8202515
"ecoli",1.38263,3078,282,2865,4116,10341,0.9347328
"ecoli",1.64172,2917,345,2593,5184,11039,0.7682167
"ecoli",1.3153,3176,171,2151,5039,10537,0.9004078
"ecoli",1.17277,3180,227,2562,4928,10897,1.175987
"ecoli",1.27387,3128,177,3008,4631,10944,1.049616
"ecoli",1.01422,3112,265,3081,3818,10276,1.185606
"ecoli",1.87276,3092,274,2880,5372,11618,0.7148845
"ecoli",1.09407,3091,263,3086,3456,9896,1.023018
"ecoli",1.21194,3152,229,3002,4769,11152,0.9928698
"ecoli",1.12789,3036,330,1805,5375,10546,1.170233
"ecoli",1.69723,3054,333,2215,5964,11566,0.7505465
"ecoli",0.78779,3379,232,1368,3049,8028,1.290395
"ecoli",1.08462,3163,234,2663,3475,9535,0.9859603
