"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"1",1.0169,2105,76,988,1175,4344,1.599541
"2",1.44797,2065,95,1001,1253,4414,1.129428
"3",1.09539,2115,79,977,933,4104,1.539356
"4",1.29091,2107,81,920,981,4089,1.030542
"5",1.05167,2099,92,922,1290,4403,1.997158
"6",0.67128,2170,52,910,690,3822,32.59346
"7",0.90426,2122,86,819,849,3876,28.56282
"8",1.0571,2142,54,855,723,3774,1.937938
"9",0.84328,2153,37,1054,926,4170,34.39981
"10",1.36735,2110,68,942,1101,4221,1.251884
"11",0.85311,2135,72,932,1239,4378,31.9303
"12",1.51574,2111,50,784,1380,4325,0.6290973
"13",1.04857,2095,78,1091,1356,4620,21.72201
"14",1.23075,2098,72,1005,1051,4226,1.531101
"15",1.05052,2121,76,852,1269,4318,27.81355
"16",0.6874,2158,70,887,846,3961,32.52524
"17",0.98347,2109,100,836,856,3901,28.495
"18",0.83025,2138,73,808,1104,4123,29.30203
"19",0.99409,2131,44,1024,952,4151,1.376962
"20",0.83563,2139,64,865,997,4065,27.62463
"21",0.67418,2174,26,916,807,3923,29.02707
"22",1.19515,2098,74,1002,1129,4303,1.610574
"23",1.43964,2115,74,755,1049,3993,0.8161085
"24",1.1835,2105,70,993,1235,4403,1.781007
"25",0.88081,2115,96,796,1131,4138,28.07305
"26",0.829,2144,72,792,1078,4086,26.17903
"27",0.628,2155,26,875,1070,4126,28.78871
"28",1.22374,2119,67,870,1295,4351,1.593787
"29",0.98384,2122,55,972,925,4074,2.199666
"30",1.05095,2135,51,969,1023,4178,1.805086
"31",1.05988,2139,38,937,1035,4149,1.958898
"32",0.8373,2143,77,840,1185,4245,24.54398
"33",0.68065,2164,72,749,1091,4076,32.56513
"34",1.3774,2107,70,997,1262,4436,1.181362
"35",1.23315,2111,74,888,1216,4289,1.358401
"36",1.00155,2144,37,946,1222,4349,1.671955
"37",1.37064,2106,57,1014,1382,4559,1.733104
"38",1.15775,2116,74,819,1089,4098,1.27373
"39",1.21262,2116,63,840,1248,4267,1.329814
"40",1.52238,2113,50,936,1219,4318,0.9072026
"41",1.44162,2107,61,914,1071,4153,0.9693431
"42",1.19592,2079,73,942,1346,4440,1.556328
"43",1.02716,2140,39,901,925,4005,1.356935
"44",0.68425,2167,53,1002,808,4030,28.46765
"45",0.88904,2137,84,819,1026,4066,30.07453
"46",1.07577,2108,72,957,1049,4186,1.77307
"47",1.03613,2108,69,934,1100,4211,1.71795
"48",1.11482,2093,82,858,1061,4094,1.243224
"49",1.39036,2106,67,949,1251,4373,1.19094
"50",1.0117,2128,60,911,930,4029,1.593799
"51",0.68844,2155,70,944,1109,4278,30.68885
"52",0.83891,2145,54,946,1121,4266,26.02398
"53",0.86297,2148,44,915,908,4015,22.59901
"54",0.89492,2118,87,956,1339,4500,27.5102
"55",0.84358,2135,66,888,865,3954,31.24151
"56",1.02594,2106,58,954,1165,4283,2.087209
"57",1.42281,2058,98,967,1116,4239,1.065969
"58",1.21354,2115,56,880,1014,4065,1.580365
"59",1.03554,2136,51,823,947,3957,1.793322
"60",0.68717,2154,85,875,888,4002,31.17207
"61",0.85897,2141,69,888,1051,4149,33.40644
"62",0.62324,2153,84,848,1057,4142,26.26511
"63",1.06554,2124,41,1057,871,4093,1.809087
"64",0.77746,2134,94,920,960,4108,27.69719
"65",1.19864,2104,72,972,1039,4187,1.409991
"66",1.09023,2105,94,880,991,4070,30.42858
"67",0.8349,2152,77,827,1028,4084,26.74955
"68",1.22293,2114,58,914,1256,4342,1.303359
"69",0.88243,2128,81,805,914,3928,27.83413
"70",1.21839,2116,66,964,1057,4203,1.722862
"71",1.0706,2129,46,934,921,4030,1.834306
"72",1.19461,2098,80,975,1047,4200,1.625798
"73",1.0106,2130,69,945,817,3961,1.674016
"74",0.68954,2168,78,795,1037,4078,28.62521
"75",1.39834,2073,90,795,1174,4132,0.916853
"76",1.25201,2104,82,804,1215,4205,1.459058
"77",0.68249,2177,57,934,766,3934,26.96904
"78",0.82908,2134,46,948,998,4126,27.10396
"79",0.83391,2145,55,819,1162,4181,32.77531
"80",1.39648,2082,88,904,1490,4564,1.243098
"81",1.01479,2118,86,875,1051,4130,1.564033
"82",1.02501,2106,71,929,982,4088,1.658013
"83",1.06179,2144,48,880,779,3851,1.56042
"84",1.0428,2135,60,820,1040,4055,1.699242
"85",1.10807,2104,100,699,1117,4020,34.5175
"86",1.15829,2109,84,874,999,4066,1.137041
"87",1.01332,2138,60,869,1008,4075,1.662113
"88",1.01021,2126,61,907,1192,4286,1.696199
"89",1.2271,2105,61,896,926,3988,0.9256784
"90",1.05596,2134,59,983,742,3918,1.201615
"91",0.83216,2136,44,919,1059,4158,32.82232
"92",0.83297,2141,80,828,1080,4129,31.33587
"93",1.24895,2099,82,935,1066,4182,1.158616
"94",1.07468,2124,72,896,1020,4112,32.78158
"95",1.2288,2121,55,990,1216,4382,1.405364
"96",1.10046,2125,89,771,1076,4061,1.355884
"97",0.84601,2129,79,875,912,3995,30.45598
"98",0.99121,2099,93,945,1325,4462,2.114088
"99",0.68313,2172,65,814,929,3980,28.71696
"100",0.66447,2178,27,773,870,3848,37.86746
