core_genome, soft_core_genome, shell_genome, cloud_genome,tot_pangenome_size
1357,35,846,795,3033
1325,51,967,913,3256
1305,58,900,1146,3409
1312,66,935,1066,3379
1326,53,853,1146,3378
1298,63,1011,1037,3409
1341,55,943,852,3191
1293,91,864,1180,3428
1332,56,947,868,3203
1290,69,844,1109,3312
1309,61,961,1075,3406
1287,69,850,1289,3495
1308,61,997,987,3353
1307,57,947,955,3266
1278,73,1087,1249,3687
1343,44,922,972,3281
1310,58,1044,1095,3507
1324,44,940,950,3258
1325,52,824,1088,3289
1322,49,963,1045,3379
1334,42,926,1009,3311
1324,56,912,951,3243
1339,55,870,860,3124
1321,51,896,1196,3464
1312,75,877,1049,3313
1279,75,919,1208,3481
1333,51,935,1030,3349
1350,39,898,836,3123
1316,51,988,911,3266
1335,38,957,1074,3404
1311,53,990,1083,3437
1339,38,997,971,3345
1285,68,1028,1066,3447
1315,56,989,808,3168
1302,68,813,1064,3247
1309,58,934,1178,3479
1336,49,960,933,3278
1312,67,899,1164,3442
1278,79,954,1387,3698
1295,62,978,1172,3507
1309,48,910,1191,3458
1323,63,871,931,3188
1307,68,938,1029,3342
1287,72,935,1223,3517
1310,67,843,1190,3410
1316,67,910,1228,3521
1314,77,780,1172,3343
1296,64,958,1054,3372
1301,66,938,1024,3329
1340,32,925,1088,3385
1318,66,920,1018,3322
1309,67,908,1106,3390
1288,73,872,1117,3350
1301,67,870,1186,3424
1328,45,867,1137,3377
1308,62,1003,1038,3411
1354,42,925,871,3192
1337,40,1038,906,3321
1311,59,989,1025,3384
1288,77,898,1326,3589
1315,54,898,1157,3424
1326,52,992,855,3225
1296,60,933,1211,3500
1336,52,921,1100,3409
1332,49,991,1011,3383
1292,68,898,1324,3582
1326,60,936,992,3314
1287,76,925,1136,3424
1326,53,880,1038,3297
1283,66,1014,1247,3610
1317,46,964,1190,3517
1301,56,811,1163,3331
1295,73,973,1149,3490
1305,67,935,1085,3392
1312,67,836,1304,3519
1315,70,930,1029,3344
1297,75,939,1087,3398
1316,65,1057,1018,3456
1334,47,941,1035,3357
1343,56,926,739,3064
1302,78,850,1288,3518
1328,41,881,1100,3350
1312,65,843,1145,3365
1334,52,874,950,3210
1310,59,928,1090,3387
1307,54,1075,968,3404
1325,43,849,1034,3251
1315,69,1001,1100,3485
1304,61,978,1116,3459
1317,46,940,1056,3359
1311,71,870,1066,3318
1329,37,863,1141,3370
1316,52,862,1149,3379
1325,44,931,1155,3455
1301,60,947,1200,3508
1308,60,942,1182,3492
1284,77,944,1247,3552
1329,54,840,1083,3306
1311,78,965,1036,3390
1293,60,996,1060,3409
