core_genome, soft_core_genome, shell_genome, cloud_genome, pangenome
3703,134,1752,2556,8145
3734,132,1433,2211,7510
3761,136,1520,1887,7304
3715,192,1283,2010,7200
3789,94,1341,1795,7019
3796,47,1487,2443,7773
3703,189,1350,2081,7323
3706,142,1475,1840,7163
3751,93,1717,2258,7819
3782,89,1364,2336,7571
3770,78,1648,2007,7503
3784,86,1602,1864,7336
3703,162,1345,3015,8225
3745,124,1404,2591,7864
3698,110,1620,2588,8016
3770,90,1496,1347,6703
3693,175,1263,3003,8134
3623,180,1514,2481,7798
3799,110,1341,1954,7204
3733,108,1522,2376,7739
3683,157,1448,2671,7959
3815,60,1476,2195,7546
3724,136,1408,1747,7015
3807,81,1321,2524,7733
3700,150,1474,2300,7624
3763,141,1183,2029,7116
3742,98,1620,2569,8029
3768,95,1551,2154,7568
3724,158,1348,3115,8345
3736,160,1372,1780,7048
3637,209,1453,2283,7582
3728,114,1500,2422,7764
3768,82,1546,2312,7708
3755,123,1702,2385,7965
3766,123,1592,2141,7622
3751,122,1730,2604,8207
3652,164,1541,2705,8062
3681,152,1534,2048,7415
3642,208,1603,2585,8038
3776,88,1520,2459,7843
3781,111,1483,2314,7689
3784,84,1491,2441,7800
3713,140,1536,2190,7579
3755,131,1416,1910,7212
3679,176,1552,2189,7596
3720,135,1539,2028,7422
3803,140,1294,1949,7186
3718,153,1456,1873,7200
3787,78,1638,1928,7431
3759,85,1540,2281,7665
3782,90,1486,1881,7239
3752,139,1495,2364,7750
3720,121,1500,2283,7624
3796,80,1406,1841,7123
3774,75,1593,2313,7755
3667,164,1410,3047,8288
3700,137,1509,2244,7590
3749,130,1438,2080,7397
3705,178,1370,2109,7362
3745,147,1321,2619,7832
3783,191,1216,2181,7371
3822,107,1209,1789,6927
3785,117,1635,2481,8018
3711,151,1653,2293,7808
3703,140,1468,2075,7386
3669,198,1520,2799,8186
3754,115,1440,2348,7657
3746,125,1609,2515,7995
3635,180,1494,3103,8412
3737,183,1400,2343,7663
3761,119,1704,2574,8158
3723,108,1558,2065,7454
3748,108,1479,2050,7385
3685,151,1497,1899,7232
3776,88,1402,1870,7136
3752,147,1269,2099,7267
3676,180,1322,2377,7555
3724,145,1297,2459,7625
3702,155,1561,2411,7829
3747,188,1177,2043,7155
3720,180,1409,2103,7412
3798,71,1528,1893,7290
3679,161,1632,2547,8019
3686,144,1517,2459,7806
3741,111,1552,2649,8053
3789,106,1487,2262,7644
3754,125,1569,2434,7882
3791,83,1599,2233,7706
3682,242,1297,2353,7574
3665,147,1592,2267,7671
3773,67,1680,1795,7315
3760,96,1516,2862,8234
3710,161,1497,2196,7564
3739,145,1416,2098,7398
3754,139,1278,2598,7769
3791,103,1425,2063,7382
3780,89,1576,1946,7391
3762,111,1406,1945,7224
3756,80,1413,1698,6947
3783,93,1519,1969,7364
