"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indel_rates"
"1",1.04131,3337,217,840,745,5139,3.228821
"2",0.65235,3242,314,799,715,5070,1.640817
"3",1.03223,3184,230,1010,801,5225,1.759825
"4",0.93802,3245,294,850,725,5114,1.909075
"5",1.06595,3261,205,927,743,5136,4.377498
"6",1.02432,3231,212,1000,754,5197,2.868115
"7",0.95028,3293,129,1030,716,5168,3.077536
"8",0.99822,3251,284,840,741,5116,2.308969
"9",1.05071,3343,217,817,713,5090,3.271578
"10",1.09778,3212,213,1032,772,5229,2.001791
"11",0.90114,3273,254,886,733,5146,1.845647
"12",1.01959,3226,271,934,761,5192,2.262655
"13",0.98005,3254,148,1075,805,5282,2.095414
"14",0.6393,3388,161,826,631,5006,2.88
"15",1.08148,3188,330,889,850,5257,2.556357
"16",1.0438,3228,313,839,732,5112,2.908028
"17",1.09275,3233,271,942,783,5229,2.833272
"18",1.12817,3228,180,1056,764,5228,3.166092
"19",0.96249,3275,203,926,771,5175,3.663922
"20",1.00238,3327,130,969,610,5036,2.910322
"21",1.00125,3266,150,1045,751,5212,2.869089
"22",0.93244,3262,299,803,715,5079,2.246947
"23",1.07505,3200,315,902,795,5212,2.677286
"24",0.8827,3174,326,913,826,5239,2.130294
"25",0.70876,3302,204,935,702,5143,2.997198
"26",0.97891,3311,147,977,665,5100,1.704793
"27",1.10142,3392,201,790,653,5036,3.163152
"28",0.6025,3413,175,767,590,4945,2.615372
"29",1.07363,3314,151,935,616,5016,2.913066
"30",1.06197,3202,204,1059,743,5208,2.896182
"31",1.02085,3272,267,831,704,5074,2.584676
"32",0.92959,3273,151,1042,658,5124,3.279091
"33",0.60724,3255,267,907,742,5171,1.991761
"34",0.94933,3250,264,906,714,5134,1.741857
"35",1.11811,3201,295,927,863,5286,2.251673
"36",1.08935,3203,206,1031,781,5221,2.160109
"37",1.09741,3254,299,818,803,5174,2.656855
"38",1.05506,3261,142,1061,808,5272,2.355155
"39",1.02343,3200,321,903,839,5263,2.252339
"40",1.06723,3181,233,1006,725,5145,1.747469
"41",1.04645,3375,71,964,578,4988,2.450664
"42",0.99631,3203,309,893,847,5252,2.109293
"43",1.07553,3266,247,887,726,5126,2.64575
"44",1.07942,3221,196,1036,762,5215,1.969049
"45",0.98608,3169,322,949,840,5280,2.016187
"46",1.06233,3380,60,973,591,5004,3.810073
"47",1.09674,3297,229,884,662,5072,2.854012
"48",1.08009,3293,141,1027,633,5094,3.251289
"49",0.97035,3211,317,886,794,5208,1.873365
"50",0.91551,3265,170,997,731,5163,2.173852
"51",1.09694,3259,159,1010,730,5158,3.247748
"52",1.01009,3409,156,807,706,5078,2.567315
"53",1.06214,3276,179,942,652,5049,2.221913
"54",1.07408,3207,342,836,852,5237,2.06095
"55",1.00134,3299,249,862,799,5209,3.556452
"56",1.11615,3323,226,872,661,5082,2.317528
"57",0.64135,3259,175,955,817,5206,3.06565
"58",1.06041,3212,195,1052,797,5256,5.029138
"59",0.96309,3170,199,1125,880,5374,1.856051
"60",1.01046,3219,298,875,894,5286,1.8515
"61",1.04754,3338,94,995,683,5110,2.772405
"62",1.03266,3306,251,817,763,5137,2.461424
"63",0.96401,3183,331,888,791,5193,2.445741
"64",1.07755,3393,177,802,565,4937,3.505874
"65",0.9499,3322,234,833,660,5049,2.559755
"66",1.08068,3325,223,859,661,5068,3.026127
"67",1.07638,3193,316,877,838,5224,1.7994
"68",0.92275,3186,341,864,824,5215,1.645421
"69",1.03945,3255,135,1094,800,5284,2.045463
"70",1.03705,3264,255,916,703,5138,2.077024
"71",1.09925,3272,253,858,768,5151,1.849455
"72",1.08464,3320,127,973,710,5130,3.433765
"73",0.56461,3324,255,781,651,5011,1.761421
"74",1.00151,3285,114,1060,810,5269,2.069672
"75",0.62598,3199,200,1063,823,5285,1.629777
"76",0.97606,3292,202,941,751,5186,1.698376
"77",1.043,3446,146,774,591,4957,2.412464
"78",1.00175,3151,359,921,889,5320,2.419738
"79",0.9174,3354,248,740,691,5033,2.737925
"80",1.03182,3232,180,1040,855,5307,1.920073
"81",1.10688,3288,212,937,711,5148,2.406586
"82",1.02057,3227,259,957,779,5222,2.118627
"83",1.02218,3262,187,950,737,5136,2.044972
"84",1.06764,3233,293,868,691,5085,1.918244
"85",0.72563,3265,145,1050,779,5239,1.954956
"86",0.92041,3227,264,918,780,5189,1.524975
"87",1.01542,3253,198,972,712,5135,1.692109
"88",1.0965,3285,235,918,685,5123,2.427384
"89",1.08857,3240,239,987,833,5299,2.071175
"90",0.9864,3406,165,810,540,4921,3.329879
"91",1.08872,3235,299,840,808,5182,2.083294
"92",1.04546,3259,290,847,782,5178,5.267449
"93",0.97119,3209,279,970,802,5260,2.128133
"94",1.07286,3388,206,764,595,4953,3.146852
"95",1.02447,3271,279,837,753,5140,2.775535
"96",0.95927,3210,176,1082,733,5201,1.818482
"97",0.96142,3306,255,804,629,4994,2.564572
"98",1.06228,3300,228,879,715,5122,2.366401
"99",1.07958,3263,132,1081,704,5180,2.414772
"100",0.975,3327,249,810,671,5057,2.783835
