"run_no","core","soft_core","shell_gene","cloud_gene","total_gene","Distance","Insertion_Rate","Deletion_Rate"
1,3703,134,1752,2556,8145,1.39179,NA,NA
2,3734,132,1433,2211,7510,1.56688,1.474766,1.474766
3,3761,136,1520,1887,7304,1.00896,1.564849,1.564849
4,3715,192,1283,2010,7200,1.20246,100,100
5,3789,94,1341,1795,7019,1.03895,1.811368,1.811368
6,3796,47,1487,2443,7773,1.27912,NA,NA
7,3703,189,1350,2081,7323,1.31266,2.941904,2.941904
8,3706,142,1475,1840,7163,1.31362,1.502664,1.502664
9,3751,93,1717,2258,7819,1.08641,2.539347,2.539347
10,3782,89,1364,2336,7571,1.56504,2.020467,2.020467
11,3770,78,1648,2007,7503,1.31316,100,100
12,3784,86,1602,1864,7336,1.04066,1.246875,1.246875
13,3703,162,1345,3015,8225,1.6341,NA,NA
14,3745,124,1404,2591,7864,1.307,1.728704,1.728704
15,3698,110,1620,2588,8016,1.28678,1.237886,1.237886
16,3770,90,1496,1347,6703,1.27727,1.825921,1.825921
17,3693,175,1263,3003,8134,1.73669,NA,NA
18,3623,180,1514,2481,7798,1.37576,1.167809,1.167809
19,3799,110,1341,1954,7204,1.29644,1.130416,1.130416
20,3733,108,1522,2376,7739,1.58159,77.82141,77.82141
21,3683,157,1448,2671,7959,1.79553,1.132796,1.132796
22,3815,60,1476,2195,7546,1.08125,NA,NA
23,3724,136,1408,1747,7015,1.30694,1.284686,1.284686
24,3807,81,1321,2524,7733,1.29251,NA,NA
25,3700,150,1474,2300,7624,1.40986,71.6163,71.6163
26,3763,141,1183,2029,7116,1.08849,1.006555,1.006555
27,3742,98,1620,2569,8029,1.28632,2.664836,2.664836
28,3768,95,1551,2154,7568,1.17046,1.639775,1.639775
29,3724,158,1348,3115,8345,1.30307,NA,NA
30,3736,160,1372,1780,7048,1.28112,0.9617756,0.9617756
31,3637,209,1453,2283,7582,1.09358,1.104133,1.104133
32,3728,114,1500,2422,7764,1.51019,1.417435,1.417435
33,3768,82,1546,2312,7708,1.5955,1.526094,1.526094
34,3755,123,1702,2385,7965,1.27909,100,100
35,3766,123,1592,2141,7622,0.97011,1.436152,1.436152
36,3751,122,1730,2604,8207,1.45837,2.402849,2.402849
37,3652,164,1541,2705,8062,1.55779,1.974439,1.974439
38,3681,152,1534,2048,7415,1.41663,0.9,0.9
39,3642,208,1603,2585,8038,1.58916,2.3309,2.3309
40,3776,88,1520,2459,7843,1.04495,1.3435,1.3435
41,3781,111,1483,2314,7689,1.28863,1.684071,1.684071
42,3784,84,1491,2441,7800,1.59099,2.616484,2.616484
43,3713,140,1536,2190,7579,1.51008,1.832162,1.832162
44,3755,131,1416,1910,7212,1.09311,1.545174,1.545174
45,3679,176,1552,2189,7596,1.17019,100,100
46,3720,135,1539,2028,7422,1.05905,1.571189,1.571189
47,3803,140,1294,1949,7186,1.04558,NA,NA
48,3718,153,1456,1873,7200,1.16914,1.394504,1.394504
49,3787,78,1638,1928,7431,1.12576,1.689784,1.689784
50,3759,85,1540,2281,7665,1.08323,1.798261,1.798261
51,3782,90,1486,1881,7239,0.9893,1.60049,1.60049
52,3752,139,1495,2364,7750,1.30063,1.374765,1.374765
53,3720,121,1500,2283,7624,0.83781,2.350499,2.350499
54,3796,80,1406,1841,7123,1.07156,1.1499,1.1499
55,3774,75,1593,2313,7755,1.27931,0.9115607,0.9115607
56,3667,164,1410,3047,8288,1.33128,NA,NA
57,3700,137,1509,2244,7590,1.52179,1.775666,1.775666
58,3749,130,1438,2080,7397,1.38559,0.9938332,0.9938332
59,3705,178,1370,2109,7362,1.3876,1.085223,1.085223
60,3745,147,1321,2619,7832,1.49937,2.465147,2.465147
61,3783,191,1216,2181,7371,0.83828,1.058333,1.058333
62,3822,107,1209,1789,6927,0.91448,NA,NA
63,3785,117,1635,2481,8018,1.16936,1.681898,1.681898
64,3711,151,1653,2293,7808,1.25801,100,100
65,3703,140,1468,2075,7386,1.2894,1.505977,1.505977
66,3669,198,1520,2799,8186,1.53925,1.270961,1.270961
67,3754,115,1440,2348,7657,1.24284,NA,NA
68,3746,125,1609,2515,7995,1.25157,1.537892,1.537892
69,3635,180,1494,3103,8412,1.74777,1.721054,1.721054
70,3737,183,1400,2343,7663,1.05316,0.9807699,0.9807699
71,3761,119,1704,2574,8158,1.28597,NA,NA
72,3723,108,1558,2065,7454,1.38976,72.17032,72.17032
73,3748,108,1479,2050,7385,1.39524,NA,NA
74,3685,151,1497,1899,7232,1.40544,0.8319626,0.8319626
75,3776,88,1402,1870,7136,1.16723,1.175537,1.175537
76,3752,147,1269,2099,7267,1.2822,0.9473645,0.9473645
77,3676,180,1322,2377,7555,1.52145,1.963341,1.963341
78,3724,145,1297,2459,7625,1.40775,NA,NA
79,3702,155,1561,2411,7829,1.5407,100,100
80,3747,188,1177,2043,7155,0.93322,1.385412,1.385412
81,3720,180,1409,2103,7412,1.07419,1.187969,1.187969
82,3798,71,1528,1893,7290,1.16122,NA,NA
83,3679,161,1632,2547,8019,1.52742,NA,NA
84,3686,144,1517,2459,7806,1.62488,2.616604,2.616604
85,3741,111,1552,2649,8053,1.06148,100,100
86,3789,106,1487,2262,7644,0.96002,1.208062,1.208062
87,3754,125,1569,2434,7882,1.17373,NA,NA
88,3791,83,1599,2233,7706,1.28013,1.584886,1.584886
89,3682,242,1297,2353,7574,1.10338,1.23134,1.23134
90,3665,147,1592,2267,7671,1.73462,1.157167,1.157167
91,3773,67,1680,1795,7315,1.45101,1.440171,1.440171
92,3760,96,1516,2862,8234,1.51193,0.9,0.9
93,3710,161,1497,2196,7564,1.52235,1.610144,1.610144
94,3739,145,1416,2098,7398,1.15804,1.399711,1.399711
95,3754,139,1278,2598,7769,1.08115,NA,NA
96,3791,103,1425,2063,7382,0.82758,0.9060986,0.9060986
97,3780,89,1576,1946,7391,1.4534,2.07156,2.07156
98,3762,111,1406,1945,7224,0.96684,1.158507,1.158507
99,3756,80,1413,1698,6947,1.18042,1.239039,1.239039
100,3783,93,1519,1969,7364,1.49381,1.242637,1.242637
